Contrato;Empresa;Cód. Obra;Obra;Cód. Fornecedor;Fornecedor*;CPF/CNPJ Fornecedor; Objeto do Contrato;Data do Contrato;Data de Término;Situação do Contrato;Data da alteração de situação;Descrição da alteração de situação;Responsável;Situação de Autorização;Autorizado por;Cód. Tipo do Contrato;Tipo do Contrato;Total Mão de Obra;Total Material;Total;Total Medido;Saldo;Cód. Centro custo previsão;Centro custo previsão;Cód. departamento previsão;Departamento previsão;Observação da previsão;Total em Aberto;Total Sinal;Cód. Centro custo sinal;Centro custo sinal;Cód. Departamento sinal;Departamento sinal;Vencimento do sinal;Observação do sinal;Retém impostos no sinal;Total Fat. Direto;Total Fat. Direto Vinculado;Fat. direto outro(s) contrato(s);Fat. direto considera indice;Fat. direto por desconto
CTF/7000277;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70100;ESPAÇO ARQOS;3320;MULTITEINER COMERCIO E LOCACAO DE CONTEINERES LTDA;00.240.568/0001-80;LOCAÇÃO DE CONTAINER (DEPOSITO) - MULTITEINER;17/09/2024;25/03/2025;Parcialmente medido;;;RAFAEL SUDA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 6.500,00;;R$ 6.500,00;R$ 5.430,00;R$ 1.070,00;70100;ESPAÇO ARQOS;5;ENGENHARIA;"SC1817 #919 - EX. APROVADA
LOCAÇÃO DE CONTAINER - DEPOSITO
VALOR: R$ 3.400,00";R$ 1.070,00;;;;;;;;não;;;não;não;não
CTF/7000276;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;50090;DISTRITQ;2841;MAXIMA MARKETING PROMOCIONAL LTDA;18.666.314/0001-93;EQUIPE EXTRA DE LIMPEZA (EVENTO DISTRITQ);11/09/2024;25/12/2024;Totalmente medido;23/09/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;;R$ 952,56;R$ 952,56;R$ 952,56;;70072;DISTRITQ;6;MARKETING;"SC1806 #893
Contratação de limpeza Extra - Lançamento DTQ
2 pessoas 12hrs 07/09
2 pessoas 8hrs 08/09
R$952,56";;;;;;;;;não;;;não;não;não
CTF/7000275;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70044;COMERCIAL;4002;DIGITAI ONLINE SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA;46.230.218/0001-33;SOFTWARE - AUTOMAÇÃO JORNADA DE VENDAS;11/09/2024;25/12/2024;Concluído;26/11/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;GUSTAVO NASCIMENTO;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 15.000,00;;R$ 15.000,00;R$ 15.000,00;;70044;COMERCIAL;7;COMERCIAL;SC1813 #904;;;;;;;;;não;;;não;não;não
CTF/7000274;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70023;PROJETOS EM PROSPECÇÃO;2984;VIRGILIO E HORN SOCIEDADE DE ADVOGADOS;22.118.766/0001-08;"HONORARIOS ADV - VIRGILIO E HORN SOCIEDADE DE ADVOGADOS 100% SERVIÇOS
Cap. Guedes.";10/09/2024;25/12/2024;Concluído;03/10/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;KATIA SANGALI;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 4.800,00;;R$ 4.800,00;R$ 4.800,00;;70023;PROJETOS EM PROSPECÇÃO;9;JURIDICO;SC1792 #878 - Trata-se da contratação de escritório externo para elaboração do MoU da operação Cap. Guedes - 4800,00;;;;;;;;;não;;;não;não;não
CTF/7000273;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;50090;DISTRITQ;1764;MOTOVILLE TRANSPORTES E SERV. LTDA ME;72.892.235/0001-46;SERVIÇOS DE FRETE - MOTOVILLE;05/09/2024;05/11/2024;Pendente;;;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 2.800,00;;R$ 2.800,00;;R$ 2.800,00;70072;DISTRITQ;6;MARKETING;;R$ 2.800,00;;;;;;;;não;;;não;não;não
CTF/7000272;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70019;MARKETING;3990;MARGRAF EDITORA E INDUSTRIA GRAFICA LTDA;50.614.213/0001-81;IMPRESSOS - MARGRAF;05/09/2024;05/11/2024;Concluído;16/09/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;;R$ 34.775,00;R$ 34.775,00;R$ 34.775,00;;70019;MARKETING;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7000271;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70019;MARKETING;1572;SELECT COLOR - ARTES GRAFICAS LTDA;00.844.676/0001-61;SERVIÇOS GRAFICOS - SELECTCOLOR;05/09/2024;15/11/2024;Concluído;13/09/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 13.500,00;;R$ 13.500,00;R$ 13.500,00;;70019;MARKETING;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7000270;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;50090;DISTRITQ;3602;LIKE DISTRIBUICAO E LOGISTICA LTDA;23.663.284/0001-00;BRINDES - LIKE DISTRIBUIÇÃO 100%MATERIAL;05/09/2024;05/11/2024;Concluído;12/09/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;;R$ 4.332,00;R$ 4.332,00;R$ 4.332,00;;70072;DISTRITQ;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7000269;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;50090;DISTRITQ;2677;FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.;13.347.016/0001-17;CAMPANHA FACEBOOK/INSTAGRAN;04/09/2024;25/12/2025;Parcialmente medido;;;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 22.679,57;;R$ 22.679,57;R$ 14.977,12;R$ 7.702,45;70072;DISTRITQ;6;MARKETING;"Verba para campanha online - Meta/Facebook
DTQ R$15.000,00";R$ 14.653,13;;;;;;;;não;;;não;não;não
CTF/7000268;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;50090;DISTRITQ;1764;MOTOVILLE TRANSPORTES E SERV. LTDA ME;72.892.235/0001-46;FRETE - MOTOVILLE - 100% SERVIÇOS;02/09/2024;31/12/2024;Pendente;;;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;2;MÃO DE OBRA;R$ 1.363,00;;R$ 1.363,00;;R$ 1.363,00;70072;DISTRITQ;6;MARKETING;#822 SC1767 - ENTREGA DOS CONVITES EVENTO DISTRIQ;R$ 1.363,00;;;;;;;;não;;;não;não;não
CTF/7000267;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;50090;DISTRITQ;3973;ZULCARE COZINHA DE DOCES LTDA.;30.186.235/0001-80;PRESENTES LANÇAMENTO DTQ - ZULCARE DOCES;26/08/2024;26/11/2024;Concluído;18/09/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;;R$ 12.285,00;R$ 12.285,00;R$ 12.285,00;;70072;DISTRITQ;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7000266;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;50090;DISTRITQ;1864;XAVIER SERVICE E TERCEIRIZACAO LTDA;38.407.849/0001-57;SERVIÇOS DE SEGURANÇA - XAVIER;26/08/2024;26/12/2024;Concluído;09/10/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 2.012,50;;R$ 2.012,50;R$ 2.012,50;;70072;DISTRITQ;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7000265;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70100;ESPAÇO ARQOS;3974;LAVDECOR LAVANDERIA LTDA;21.763.882/0001-17;SERVIÇOS DE LAVANDERIA - LAVDECOR;26/08/2024;26/08/2024;Concluído;03/09/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;KAREN ALVES;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 6.403,00;;R$ 6.403,00;R$ 6.403,00;;70100;ESPAÇO ARQOS;14;PLANEJAMENTO;;;;;;;;;;não;;;não;não;não
CTF/7000264;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70021;Gente e Gestão;3985;GUERRA TREINAMENTOS E SOLUCOES LTDA;29.294.456/0001-93;CURSOS PARA EQUIPE DE FINANCEIRO E SUPRIMENTOS - GUERRA TREINAMENTOS;22/08/2024;22/12/2024;Concluído;06/09/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;TIAGO SOUZA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 2.568,00;;R$ 2.568,00;R$ 2.568,00;;70021;Gente e Gestão;11;GENTE E GESTÃO;;;;;;;;;;não;;;não;não;não
CTF/7000263;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;50090;DISTRITQ;3503;TEMP7 AGENCIA DE NOTICIAS LTDA;50.796.046/0001-37;ENVIO DE CONVITES (RSVP) LANÇAMENTO DTQ - TEMP7;19/08/2024;19/08/2024;Concluído;26/08/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 3.000,00;;R$ 3.000,00;R$ 3.000,00;;70072;DISTRITQ;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7000262;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70100;ESPAÇO ARQOS;3996;A.F.C COMERCIO E SERVICOS DE COBERTURAS EIRELI;33.660.921/0001-30;INSTALAÇÃO E FORNECIMENTO DE LONA (SOMBRITE) - ART FLEX 100% MATERIAL;19/08/2024;19/08/2024;Pendente;;;RAFAEL SUDA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 23.000,00;;R$ 23.000,00;;R$ 23.000,00;70100;ESPAÇO ARQOS;5;ENGENHARIA;;R$ 23.000,00;;;;;;;;não;;;não;não;não
CTF/7000261;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;50090;DISTRITQ;3913;Matheus Maia Elias;496.722.718-08;MIDIA;24/07/2024;24/12/2024;Pendente;;;RENATA CRISTINA VIEIRA GARCIA;Aguardando autorização;Matheus Maia Elias ;1;MATERIAIS E MÃO DE OBRA;;R$ 1,00;R$ 1,00;;R$ 1,00;;;;;;;;;;;;;;não;;;não;não;não
CTF/7000260;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70019;MARKETING;3163;DTVZ SERVICOS DE PUBLICIDADE E TECNOLOGIA LTDA;43.760.824/0001-72;FEE (AGENCIA ONLINE) - DTVZ SERVICOS DE PUBLICIDADE;15/08/2024;15/08/2025;Parcialmente medido;;;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 96.000,00;;R$ 96.000,00;R$ 79.000,00;R$ 17.000,00;70019;MARKETING;6;MARKETING;;R$ 25.000,00;;;;;;;;não;;;não;não;não
CTF/7000259;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70100;ESPAÇO ARQOS;2687;GERSON BULDRINI;07.069.468/0001-81;COMUNICAÇÃO VISUAL - GERSON BULDRINI;15/08/2024;15/12/2024;Concluído;02/09/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 26.900,00;;R$ 26.900,00;R$ 26.900,00;;70100;ESPAÇO ARQOS;14;PLANEJAMENTO;;;;;;;;;;não;;;não;não;não
CTF/7000258;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;50090;DISTRITQ;2841;MAXIMA MARKETING PROMOCIONAL LTDA;18.666.314/0001-93;BRINDES PROMOCIONAIS - MAXXIMA MKT;15/08/2024;15/11/2024;Concluído;03/09/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;;R$ 12.462,27;R$ 12.462,27;R$ 12.462,27;;70072;DISTRITQ;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7000257;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;50090;DISTRITQ;3262;SRM MASS COMUNICATION LTDA;02.385.221/0001-50;MIDIA - SRM MASS;16/08/2024;16/04/2025;Concluído;15/01/2025;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 280.439,29;;R$ 280.439,29;R$ 280.439,29;;70072;DISTRITQ;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7000256;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70019;MARKETING;3262;SRM MASS COMUNICATION LTDA;02.385.221/0001-50;MIDIA - SRM MASS;16/08/2024;15/12/2024;Concluído;03/10/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 231.299,21;;R$ 231.299,21;R$ 231.299,21;;70019;MARKETING;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7000255;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70100;ESPAÇO ARQOS;3949;BR CLEAN HIGIENIZACAO PROFISSIONAL LTDA;47.794.930/0001-28;LAVAGEM E IMPERMEABILIZAÇÃO DE ESTOFADOS - BR CLEAN;15/08/2024;15/11/2024;Concluído;23/08/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;KAREN ALVES;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 4.670,00;;R$ 4.670,00;R$ 4.670,00;;70100;ESPAÇO ARQOS;14;PLANEJAMENTO;;;;;;;;;;não;;;não;não;não
CTF/7000254;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;50090;DISTRITQ;3262;SRM MASS COMUNICATION LTDA;02.385.221/0001-50;ATRAÇÃO PARA EVENTO DE LANÇAMENTO DTQ - SRM;15/08/2024;15/12/2024;Concluído;05/09/2024;"Situação alterada através de liberação de medições. O contrato foi totalmente medido.

sit. alterada para inclusão de aditivo.";RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 96.215,71;R$ 267.118,96;R$ 363.334,67;R$ 363.334,67;;70072;DISTRITQ;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7000253;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70019;MARKETING;3947;SOUL RIDE ESPORTES E EVENTOS EIRELI;28.344.381/0001-45;EVENTOS - SOUL RIDE;15/08/2024;15/11/2024;Concluído;03/09/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 9.982,00;;R$ 9.982,00;R$ 9.982,00;;70019;MARKETING;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7000252;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70020;FACILITIES;3043;D.D. ALPHA PRESTADORA DE SERVICOS LTDA;59.043.364/0001-00;DEDETIZAÇÃO SEDE ARQOS - DDALPHA;05/08/2024;05/07/2025;Pendente;;;TIAGO SOUZA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 1.160,00;;R$ 1.160,00;;R$ 1.160,00;70020;FACILITIES;19;FACILITIES;;R$ 1.160,00;;;;;;;;não;;;não;não;não
CTF/7000251;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;50090;DISTRITQ;3941;L P COMERCIO DE BRINDES PERSONALIZADOS LTDA;49.459.476/0001-84;PRODUTOS PARA O SEEDING LANÇAMENTO DTQ - L P BRINDES;01/08/2024;01/12/2024;Parcialmente medido;;;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;;R$ 9.135,00;R$ 9.135,00;R$ 5.750,00;R$ 3.385,00;70072;DISTRITQ;6;MARKETING;;R$ 3.385,00;;;;;;;;não;;;não;não;não
CTF/7000250;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;50090;DISTRITQ;3940;MADALENA EVENTOS, FEIRAS E CONGRESSOS EIRELI;11.849.178/0001-28;SERVIÇOS DE AGÊNCIA - MADALENA EVENTOS;01/08/2024;01/12/2024;Concluído;20/08/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 8.250,25;;R$ 8.250,25;R$ 8.250,00;;70072;DISTRITQ;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7000249;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70019;MARKETING;3262;SRM MASS COMUNICATION LTDA;02.385.221/0001-50;PRODUÇÃO DE FILMES - SRM MASS;01/08/2024;15/01/2025;Concluído;07/02/2025;Contrato totalmente medido;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 78.060,00;R$ 200,00;R$ 78.260,00;R$ 78.260,00;;70019;MARKETING;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7000248;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;50090;DISTRITQ;3137;ECKER LIMA GASTRONOMIA LTDA;39.987.376/0001-77;BUFFET LANÇAMENTO DTQ - ECKER LIMA GASTRONOMIA LTDA;01/08/2024;25/12/2024;Totalmente medido;03/10/2024;"Situação alterada através de liberação de medições. O contrato foi totalmente medido.
1 - Alterado a situação do contrato para regularização do ADT ";RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 103.200,00;;R$ 103.200,00;R$ 103.200,00;;70072;DISTRITQ;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7000247;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;50090;DISTRITQ;2675;GOOGLE BRASIL INTERNET LTDA.;06.990.590/0001-23;PUBLICIDADE (CAMPANHA ONLINE) - GOOGLE;30/07/2024;30/12/2025;Parcialmente medido;;;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 27.000,00;;R$ 27.000,00;R$ 16.050,49;R$ 10.949,51;70072;DISTRITQ;6;MARKETING;;R$ 19.007,24;;;;;;;;não;;;não;não;não
CTF/7000246;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70021;Gente e Gestão;3655;J.M. CONSTANTE COMPUTADORES LTDA;08.189.576/0001-50;CONSERTO DE NOTEBOOK;19/07/2024;19/09/2024;Rescindido;26/12/2024;ADT NEGATIVO, REALIZADO A PEDIDO DA AREA (PALNILHA DE ORÇAMENTO ANUAL 2025);TIAGO SOUZA;Aguardando autorização;Matheus Maia Elias ;1;MATERIAIS E MÃO DE OBRA;;R$ 960,00;R$ 960,00;;;70021;Gente e Gestão;11;GENTE E GESTÃO;;;;;;;;;;não;;;não;não;não
CTF/7000245;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70100;ESPAÇO ARQOS;3938;LUCIANO CALDAS SILVA 30627201822;23.585.356/0001-30;INSTALAÇÃO DE PAPEL DE PAREDE - SILVASIGN 100%SERVIÇO;25/07/2024;15/10/2024;Totalmente medido;16/09/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RAFAEL SUDA;Aprovada;Sienge Api;2;MÃO DE OBRA;R$ 1.100,00;;R$ 1.100,00;R$ 1.100,00;;70100;ESPAÇO ARQOS;5;ENGENHARIA;;R$ 1.100,00;;;;;;;;não;;;não;não;não
CTF/7000244;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70100;ESPAÇO ARQOS;3938;LUCIANO CALDAS SILVA 30627201822;23.585.356/0001-30;INSTALAÇÃO DE PAPEL DE PAREDE - SILVASIGN 100%SERVIÇO;25/07/2024;15/09/2024;Totalmente medido;16/09/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;KAREN ALVES;Aprovada;Sienge Api;2;MÃO DE OBRA;R$ 1.080,00;;R$ 1.080,00;R$ 1.080,00;;70100;ESPAÇO ARQOS;14;PLANEJAMENTO;;R$ 1.080,00;;;;;;;;não;;;não;não;não
CTF/7000243;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70100;ESPAÇO ARQOS;3946;DANIEL NUNES DA CUNHA NETO;12.963.208/0001-95;LIMPEZA PÓS OBRA (FINA) - VDM TERCERIZAÇÃO;24/07/2024;24/10/2024;Concluído;28/08/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RAFAEL SUDA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 8.000,00;;R$ 8.000,00;R$ 8.000,00;;70100;ESPAÇO ARQOS;5;ENGENHARIA;;;;;;;;;;não;;;não;não;não
CTF/7000242;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70100;ESPAÇO ARQOS;3944;ATELIE FLORAL JARDINAGEM E PRODUTOS LTDA;53.635.265/0001-22;PAISAGISMO PARA O ESPAÇO ARQOS - ATELIE FLORAL;24/07/2024;15/01/2025;Concluído;11/02/2025;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RAFAEL SUDA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 55.570,98;R$ 76.373,16;R$ 131.944,14;R$ 131.944,14;;70100;ESPAÇO ARQOS;5;ENGENHARIA;;;;;;;;;;não;;;não;não;não
CTF/7000241;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70100;ESPAÇO ARQOS;3613;MI SERVICOS DE LAVANDERIA LTDA;24.386.307/0001-30;SERVIÇOS DE LAVANDERIA - MI SERVIÇOS;22/07/2024;22/10/2024;Concluído;30/07/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RAFAEL SUDA;Aprovada;Sienge Api;2;MÃO DE OBRA;R$ 3.896,66;;R$ 3.896,66;R$ 3.896,66;;70100;ESPAÇO ARQOS;5;ENGENHARIA;;;;;;;;;;não;;;não;não;não
CTF/7000240;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70100;ESPAÇO ARQOS;1038;GOLDEN-ALPHA COMERCIO DE SOM E ACESSORIOS AUTOMOTIVOS LTA;08.885.945/0001-40;APLICAÇÃO DE INSULFILM - GOLDEN ALPHA 100%MATERIAL;17/07/2024;25/09/2024;Concluído;12/09/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RAFAEL SUDA;Aprovada;Sienge Api;3;MATERIAIS;;R$ 18.965,00;R$ 18.965,00;R$ 18.965,00;;70100;ESPAÇO ARQOS;5;ENGENHARIA;;;;;;;;;;não;;;não;não;não
CTF/7000239;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;50090;DISTRITQ;456;CATUI ENGENHARIA LTDA;07.847.697/0001-80;EXECUÇÃO DE EEE / LINHA DE RECALQUE E REDES - CATUI ENG;15/07/2024;15/09/2025;Pendente;;;RAFAEL SUDA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 3.369.226,00;R$ 2.079.724,00;R$ 5.448.950,00;;R$ 5.448.950,00;70072;DISTRITQ;5;ENGENHARIA;;R$ 5.448.950,00;;;;;;;;não;;;não;não;não
CTF/7000238;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70019;MARKETING;3044;AMAGAZINE EDITORA E PUBLICIDADE EIRELI;09.045.660/0001-63;MIDIA - 100% SERVIÇO;10/07/2024;10/10/2024;Concluído;19/07/2024;Situação alterada através de liberação de medições. O contrato foi totalmente medido.;RENATA CRISTINA VIEIRA GARCIA;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 25.000,00;;R$ 25.000,00;R$ 25.000,00;;70019;MARKETING;6;MARKETING;;;;;;;;;;não;;;não;não;não
CTF/7000237;700 - TERRAS DE SANTANA DE PARNAIBA EMPREENDIMENTOS IMOBILIARIOS LTDA;70023;PROJETOS EM PROSPECÇÃO;3291;BOLSO DE COLETE DOCUMENTACAO IMOBILIARIA S/S LTDA;04.304.899/0001-97;OBTENÇÃO DE CERTIDÕES - BOLSO DE COLETE DOCUMENTACAO IMOBILIARIA S/S LTDA;10/07/2024;31/12/2024;Parcialmente medido;;;KATIA SANGALI;Aprovada;Sienge Api;1;MATERIAIS E MÃO DE OBRA;R$ 9.000,00;;R$ 9.000,00;R$ 7.686,45;R$ 1.313,55;70023;PROJETOS EM PROSPECÇÃO;13;INCORPORAÇÃO;;R$ 1.313,55;;;;;;;;não;;;não;não;não
